"year","team","conf","seed","postseason","barthag","barthag_perform","wab","wab_perform","w","adjoe","adjoe_perform","adjde","adjde_perform","tor","tord","orb","drb","ftr","ftrd","2p_o","2p_d","3p_o","3p_d","adj_t","actual_rounds","expected_rounds","round_perform","cinderella_matrix","cm_year_rank","avg_seed_cm","cm_perform","avg_round_cm","cm_round_perform"
2013,"Michigan","B10",4,"2ND","0.9522","0.157","6.2","4.806",30,"121.5","10.276","93.7","2.855","14.6","18.7","32.5","29.4","28.4","22.7","53.4","47.6","37.9","32.6","64.8",5,"1.67","3.330","16.618","3","7.137","9.481","9.072","7.546"
2019,"Michigan St.","B10",2,"F4","0.9597","0.165","10.7","9.306",32,"119.9","8.676","91.0","5.555","18.5","14.9","33.9","26.4","33.6","27.5","54.3","41.9","37.8","31.6","68.6",4,"2.05","1.950","16.346","4","11.138","5.208","7.121","9.225"
2021,"Baylor","B12",1,"Champions","0.9548","0.160","6.6","5.206",22,"123.2","11.976","94.5","2.055","17.6","24.6","37.5","30.9","27.0","31.7","54.1","48.1","41.8","34.0","68.8",5,"2.88","2.120","16.311","3","14.255","2.056","12.102","4.209"
2016,"Kansas","B12",1,"E8","0.9662","0.171","11.6","10.206",32,"120.9","9.676","90.4","6.155","17.8","18.5","32.2","27.9","38.6","37.3","52.7","43.4","41.3","32.5","70.1",3,"2.88","0.120","16.122","2","14.255","1.867","7.704","8.418"
2022,"Kansas","B12",1,"Champions","0.9580","0.163","10.4","9.006",34,"119.8","8.576","91.3","5.255","17.3","18.1","32.9","28.6","32.3","27.7","53.6","46.4","36.1","29.8","69.1",5,"2.88","2.120","16.114","1","14.255","1.859","12.102","4.012"
2016,"North Carolina","ACC",1,"2ND","0.9531","0.158","8.6","7.206",33,"123.3","12.076","94.9","1.655","15.4","18.2","40.7","30.0","32.3","30.4","53.9","44.6","32.7","36.2","71.7",5,"2.88","2.120","16.009","3","14.255","1.754","9.072","6.937"
2013,"Indiana","B10",1,"S16","0.9692","0.174","7.8","6.406",29,"121.0","9.776","89.7","6.855","19.3","20.9","39.0","31.4","45.8","27.0","52.0","43.2","40.3","30.4","67.8",2,"2.88","-0.880","15.925","4","14.255","1.670","5.427","10.498"
2018,"Duke","ACC",2,"E8","0.9592","0.164","6.6","5.206",29,"122.3","11.076","92.9","3.655","17.5","17.3","38.8","30.0","34.6","22.3","56.0","45.4","37.2","32.0","70.9",3,"2.05","0.950","15.845","2","11.138","4.707","7.704","8.141"
2022,"Houston","Amer",5,"E8","0.9595","0.164","6.2","4.806",32,"116.5","5.276","88.5","8.055","16.9","21.7","37.7","28.0","29.0","34.7","54.5","43.4","33.8","28.8","63.7",3,"1.15","1.850","15.345","2","6.033","9.312","7.704","7.641"
2019,"Duke","ACC",1,"E8","0.9646","0.170","11.2","9.806",32,"118.9","7.676","89.2","7.355","17.5","19.4","35.6","29.5","33.2","24.0","58.0","45.0","30.8","29.9","73.6",3,"2.88","0.120","15.321","5","14.255","1.066","7.704","7.617"
2019,"Purdue","B10",3,"E8","0.9539","0.159","6.1","4.706",26,"122.8","11.576","94.3","2.255","15.8","18.6","34.5","27.0","29.9","31.7","51.5","47.2","37.4","34.2","67.0",3,"1.83","1.170","15.160","6","7.944","7.216","7.704","7.456"
2022,"Gonzaga","WCC",1,"S16","0.9662","0.171","6.7","5.306",28,"120.3","9.076","89.9","6.655","15.7","16.3","29.1","23.4","30.6","22.7","60.4","41.8","37.0","30.5","72.6",2,"2.88","-0.880","15.022","3","14.255","0.767","5.427","9.595"
2017,"Florida","SEC",4,"E8","0.9576","0.163","6.4","5.006",27,"116.6","5.376","88.9","7.655","16.9","21.0","32.1","29.5","40.2","34.0","50.3","45.7","35.9","30.5","70.2",3,"1.67","1.330","14.524","3","7.137","7.387","7.704","6.820"
2016,"Virginia","ACC",1,"E8","0.9600","0.165","8.6","7.206",29,"119.9","8.676","91.0","5.555","15.1","18.8","29.9","25.2","32.1","33.4","52.6","46.3","40.3","34.7","61.9",3,"2.88","0.120","14.516","4","14.255","0.261","7.704","6.812"
2019,"Michigan","B10",2,"S16","0.9665","0.171","9.2","7.806",30,"114.6","3.376","85.6","10.955","13.9","18.0","24.7","24.8","27.5","24.1","51.8","44.3","34.2","29.1","65.9",2,"2.05","-0.050","14.452","7","11.138","3.314","5.427","9.025"
2019,"Auburn","SEC",5,"F4","0.9420","0.147","6.1","4.706",30,"121.3","10.076","95.2","1.355","16.8","24.6","31.6","32.8","30.9","36.4","51.7","51.4","38.1","34.8","69.3",4,"1.15","2.850","14.428","8","6.033","8.395","7.121","7.307"
2015,"Villanova","BE",1,"R32","0.9663","0.171","11.3","9.906",33,"121.9","10.676","91.1","5.455","16.3","21.6","32.5","31.2","41.8","30.4","53.0","45.3","38.9","30.5","64.7",1,"2.88","-1.880","14.422","5","14.255","0.167","2.709","11.713"
2014,"Arizona","P12",1,"E8","0.9636","0.169","9.4","8.006",33,"116.2","4.976","87.4","9.155","15.7","19.1","36.4","27.3","41.0","34.2","50.7","40.2","36.4","32.0","64.3",3,"2.88","0.120","14.420","2","14.255","0.165","7.704","6.716"
2014,"Wisconsin","B10",2,"F4","0.9441","0.149","7.9","6.506",30,"122.7","11.476","95.9","0.655","12.7","15.3","28.1","27.4","42.7","27.1","51.3","45.9","37.6","34.1","63.9",4,"2.05","1.950","14.230","3","11.138","3.092","7.121","7.109"
2019,"Kentucky","SEC",2,"E8","0.9568","0.162","8.8","7.406",30,"117.5","6.276","89.8","6.755","18.6","17.9","36.8","25.5","41.9","26.8","52.9","43.6","35.4","34.3","66.9",3,"2.05","0.950","14.143","9","11.138","3.005","7.704","6.439"
2022,"Duke","ACC",2,"F4","0.9440","0.149","7.2","5.806",32,"122.7","11.476","96.0","0.555","15.0","15.7","31.7","28.9","28.6","19.1","56.0","46.6","36.6","32.0","67.4",4,"2.05","1.950","14.130","4","11.138","2.992","7.121","7.009"
2014,"Florida","SEC",1,"F4","0.9575","0.162","11.7","10.306",36,"115.9","4.676","88.4","8.155","17.5","21.3","35.3","28.0","42.4","31.2","51.3","43.5","35.9","33.0","63.1",4,"2.88","1.120","14.113","4","14.255","-0.142","7.121","6.992"
2013,"Syracuse","BE",4,"F4","0.9533","0.158","5.1","3.706",30,"113.0","1.776","87.0","9.555","18.9","23.6","38.8","34.5","36.8","35.4","48.5","42.6","33.4","28.4","65.4",4,"1.67","2.330","13.819","5","7.137","6.682","7.121","6.698"
2015,"Gonzaga","WCC",2,"E8","0.9498","0.155","7.8","6.406",34,"120.2","8.976","93.1","3.455","16.1","17.1","33.9","28.0","38.7","30.5","57.0","42.0","40.0","33.0","65.2",3,"2.05","0.950","13.536","6","11.138","2.398","7.704","5.832"
2017,"Kentucky","SEC",2,"E8","0.9517","0.157","9.0","7.606",32,"118.3","7.076","91.3","5.255","15.7","19.2","33.5","27.7","40.9","33.5","52.9","48.3","35.3","30.6","73.7",3,"2.05","0.950","13.438","4","11.138","2.300","7.704","5.734"
2015,"Notre Dame","ACC",3,"E8","0.9401","0.145","8.6","7.206",32,"125.3","14.076","98.6","-2.045","14.5","17.3","27.9","32.2","36.7","24.1","58.2","47.4","39.0","32.6","63.9",3,"1.83","1.170","13.346","7","7.944","5.402","7.704","5.642"
2013,"Duke","ACC",2,"E8","0.9507","0.156","7.5","6.106",30,"118.4","7.176","91.5","5.055","15.6","20.4","28.8","32.3","39.2","32.7","50.8","46.2","39.9","29.0","67.8",3,"2.05","0.950","13.337","6","11.138","2.199","7.704","5.633"
2017,"Villanova","BE",1,"R32","0.9611","0.166","11.1","9.706",32,"122.2","10.976","92.5","4.055","17.1","20.1","30.2","27.8","35.0","22.1","59.2","49.1","36.9","31.1","65.6",1,"2.88","-1.880","13.317","5","14.255","-0.938","2.709","10.608"
2019,"North Carolina","ACC",1,"S16","0.9582","0.163","10.0","8.606",29,"120.1","8.876","91.4","5.155","17.2","18.3","35.3","22.8","30.2","28.4","52.1","47.9","36.2","33.5","76.0",2,"2.88","-0.880","13.314","10","14.255","-0.941","5.427","7.887"
2019,"Tennessee","SEC",2,"S16","0.9488","0.154","9.9","8.506",31,"122.8","11.576","95.2","1.355","15.8","18.0","31.6","30.2","33.3","34.9","55.4","44.7","36.7","35.4","68.8",2,"2.05","-0.050","13.035","11","11.138","1.897","5.427","7.608"
2018,"Purdue","B10",2,"S16","0.9484","0.153","7.6","6.206",30,"123.2","11.976","95.7","0.855","15.8","17.7","28.0","28.0","35.6","24.2","54.1","45.5","42.0","33.2","68.7",2,"2.05","-0.050","12.934","3","11.138","1.796","5.427","7.507"
2016,"Kentucky","SEC",4,"R32","0.9517","0.157","5.0","3.606",27,"123.2","11.976","95.1","1.455","16.2","18.0","37.5","31.9","37.8","40.8","52.9","42.7","36.6","32.6","68.2",1,"1.67","-0.670","12.918","5","7.137","5.781","2.709","10.209"
2015,"North Carolina","ACC",4,"S16","0.9507","0.156","6.5","5.106",26,"119.6","8.376","92.5","4.055","18.2","17.7","40.0","31.2","35.2","37.8","50.9","45.6","35.8","30.0","69.9",2,"1.67","0.330","12.917","8","7.137","5.780","5.427","7.490"
2018,"Michigan","B10",3,"2ND","0.9375","0.142","6.9","5.506",33,"114.4","3.176","90.4","6.155","14.0","19.5","25.5","24.9","30.7","30.0","54.7","46.8","35.2","33.2","65.9",5,"1.83","3.170","12.643","4","7.944","4.699","9.072","3.571"
2021,"Michigan","B10",1,"E8","0.9521","0.157","7.2","5.806",20,"118.1","6.876","91.1","5.455","16.3","15.1","29.4","24.8","28.9","24.5","53.3","42.3","38.7","33.5","66.9",3,"2.88","0.120","12.608","4","14.255","-1.647","7.704","4.904"
2017,"Kansas","B12",1,"E8","0.9472","0.152","11.0","9.606",31,"121.5","10.276","94.5","2.055","17.6","18.6","34.1","29.7","36.0","30.0","53.6","45.3","40.4","35.6","71.4",3,"2.88","0.120","12.603","6","14.255","-1.652","7.704","4.899"
2015,"Utah","P12",5,"S16","0.9513","0.156","3.7","2.306",25,"114.9","3.676","88.7","7.855","18.2","18.3","31.3","28.4","43.4","34.3","52.3","41.4","40.1","31.2","61.4",2,"1.15","0.850","12.537","9","6.033","6.504","5.427","7.110"
2015,"Virginia","ACC",2,"R32","0.9648","0.170","10.0","8.606",30,"112.1","0.876","84.1","12.455","15.7","17.9","34.3","24.2","34.9","28.6","49.7","40.1","35.2","30.8","58.4",1,"2.05","-1.050","12.451","10","11.138","1.313","2.709","9.742"
2013,"Gonzaga","WCC",1,"R32","0.9599","0.165","7.6","6.206",31,"118.9","7.676","90.2","6.355","17.2","20.8","37.8","29.8","40.8","29.9","55.0","42.1","36.5","32.9","65.1",1,"2.88","-1.880","12.316","7","14.255","-1.939","2.709","9.607"
2018,"Kansas","B12",1,"F4","0.9385","0.143","8.2","6.806",31,"122.1","10.876","96.4","0.155","16.6","18.2","29.4","31.2","27.0","24.6","55.6","48.6","40.1","33.3","69.9",4,"2.88","1.120","12.294","5","14.255","-1.961","7.121","5.173"
2021,"Iowa","B10",2,"R32","0.9491","0.154","5.6","4.206",21,"123.5","12.276","95.7","0.855","13.3","16.3","30.7","28.6","32.0","22.6","52.4","45.8","38.6","34.8","70.0",1,"2.05","-1.050","12.235","5","11.138","1.097","2.709","9.526"
2017,"Michigan","B10",7,"S16","0.9366","0.142","3.8","2.406",26,"123.3","12.076","97.6","-1.045","14.2","19.5","24.7","30.0","30.1","27.2","56.3","50.0","38.5","37.8","64.0",2,"1.08","0.920","12.093","7","2.839","9.254","5.427","6.666"
2015,"Michigan St.","B10",7,"F4","0.9327","0.138","3.0","1.606",27,"116.3","5.076","92.6","3.955","17.5","16.5","33.5","27.0","32.7","39.0","50.8","43.8","38.5","31.5","63.9",4,"1.08","2.920","12.089","11","2.839","9.250","7.121","4.968"
2017,"West Virginia","B12",4,"S16","0.9498","0.155","6.4","5.006",28,"115.4","4.176","89.3","7.255","17.0","27.6","37.9","31.9","38.9","42.5","49.8","46.5","36.2","35.3","72.2",2,"1.67","0.330","11.916","8","7.137","4.779","5.427","6.489"
2023,"UCLA","P12",2,"S16","0.9528","0.158","8.4","7.006",31,"114.9","3.676","88.5","8.055","14.9","23.3","33.0","28.2","27.4","27.5","50.6","46.9","34.9","31.1","66.1",2,"2.05","-0.050","11.839","2","11.138","0.701","5.427","6.412"
2023,"Alabama","SEC",1,"S16","0.9548","0.160","10.2","8.806",31,"116.1","4.876","89.0","7.555","18.7","15.8","34.2","27.9","36.6","32.6","53.8","40.8","33.5","28.3","72.6",2,"2.88","-0.880","11.711","3","14.255","-2.544","5.427","6.284"
2017,"Oregon","P12",3,"F4","0.9321","0.137","6.0","4.606",33,"117.8","6.576","93.8","2.755","17.1","19.3","32.4","29.5","34.4","26.3","54.5","46.1","38.0","31.2","68.4",4,"1.83","2.170","11.638","9","7.944","3.694","7.121","4.517"
2022,"Villanova","BE",2,"F4","0.9346","0.140","7.3","5.906",30,"117.2","5.976","93.0","3.555","15.5","18.4","31.2","28.9","29.8","25.0","49.5","48.1","35.9","30.8","62.2",4,"2.05","1.950","11.621","5","11.138","0.483","7.121","4.500"
2023,"Houston","Amer",1,"S16","0.9532","0.158","8.0","6.606",33,"117.3","6.076","90.3","6.255","15.4","21.1","37.1","27.7","28.9","35.7","53.1","43.4","34.0","27.9","63.4",2,"2.88","-0.880","11.609","4","14.255","-2.646","5.427","6.182"
2014,"Tennessee","SEC",11,"S16","0.9374","0.142","0.4","-0.994",23,"118.1","6.876","93.4","3.155","16.8","16.9","39.7","27.5","41.8","31.5","50.6","44.5","31.9","34.5","63.1",2,"0.64","1.360","11.533","5","0.224","11.309","5.427","6.106"
2016,"Oklahoma","B12",2,"F4","0.9326","0.138","8.0","6.606",29,"118.2","6.976","94.1","2.455","18.3","17.7","31.2","30.5","33.0","28.3","48.2","45.3","42.2","33.7","70.8",4,"2.05","1.950","11.519","6","11.138","0.381","7.121","4.398"
2014,"Michigan","B10",2,"E8","0.9295","0.134","7.7","6.306",28,"125.0","13.776","99.9","-3.345","14.8","17.1","29.4","30.5","34.9","26.7","52.7","50.2","40.2","31.8","62.6",3,"2.05","0.950","11.515","6","11.138","0.377","7.704","3.811"
2018,"West Virginia","B12",5,"S16","0.9353","0.140","4.6","3.206",26,"120.9","9.676","95.8","0.755","16.5","23.3","37.0","30.1","31.3","44.1","48.8","45.4","35.3","38.0","71.2",2,"1.15","0.850","11.421","6","6.033","5.388","5.427","5.994"
2014,"Michigan St.","B10",4,"E8","0.9319","0.137","6.9","5.506",29,"119.6","8.376","95.3","1.255","17.4","17.7","32.9","27.5","33.7","40.3","52.1","43.5","39.2","33.2","66.2",3,"1.67","1.330","11.098","7","7.137","3.961","7.704","3.394"
2017,"Wichita St.","MVC",10,"R32","0.9403","0.145","4.1","2.706",31,"117.2","5.976","92.2","4.355","16.2","19.3","34.2","24.2","40.4","35.1","50.7","42.0","40.2","31.2","70.0",1,"0.50","0.500","10.976","10","1.525","9.451","2.709","8.267"
2014,"Duke","ACC",3,"R64","0.9432","0.148","6.5","5.106",26,"125.9","14.676","98.6","-2.045","14.6","18.5","35.2","31.3","38.8","40.8","50.3","50.3","39.5","30.7","66.7",0,"1.83","-1.830","10.949","8","7.944","3.005","-4.507","15.456"
2017,"Duke","ACC",2,"R32","0.9436","0.149","8.6","7.206",28,"122.1","10.876","95.6","0.955","16.3","17.3","31.7","29.8","39.3","31.2","53.5","48.9","37.9","29.3","69.7",1,"2.05","-1.050","10.930","11","11.138","-0.208","2.709","8.221"
2021,"Illinois","B10",1,"R32","0.9539","0.159","8.9","7.506",23,"117.7","6.476","90.4","6.155","18.2","16.1","33.0","22.2","39.2","30.5","55.3","45.4","37.6","32.7","70.7",1,"2.88","-1.880","10.910","6","14.255","-3.345","2.709","8.201"
2019,"Houston","Amer",3,"S16","0.9439","0.149","7.8","6.406",33,"115.7","4.476","90.5","6.055","16.5","18.2","34.4","26.0","31.6","37.3","51.3","43.0","35.5","27.9","67.3",2,"1.83","0.170","10.850","12","7.944","2.906","5.427","5.423"
2023,"Gonzaga","WCC",3,"E8","0.9251","0.130","6.6","5.206",31,"123.2","11.976","99.0","-2.445","14.8","17.8","31.2","25.6","34.1","26.0","58.2","50.6","37.5","35.2","70.1",3,"1.83","1.170","10.831","5","7.944","2.887","7.704","3.127"
2022,"Texas Tech","B12",3,"S16","0.9509","0.156","6.6","5.206",27,"110.5","-0.724","85.4","11.155","19.8","23.2","33.2","25.8","35.1","31.9","54.9","44.5","32.1","31.5","66.3",2,"1.83","0.170","10.757","6","7.944","2.813","5.427","5.330"
2023,"Texas","B12",2,"E8","0.9371","0.142","7.5","6.106",29,"116.1","4.876","91.8","4.755","16.3","22.1","28.3","29.0","30.5","33.7","54.0","47.9","34.7","32.4","68.5",3,"2.05","0.950","10.723","6","11.138","-0.415","7.704","3.019"
2017,"SMU","Amer",6,"R64","0.9426","0.148","6.4","5.006",30,"120.0","8.776","94.1","2.455","16.9","18.3","37.2","26.4","36.0","24.6","51.0","44.1","40.6","32.1","64.8",0,"0.73","-0.730","10.649","12","4.018","6.631","-4.507","15.156"
2014,"Kentucky","SEC",8,"2ND","0.9062","0.111","3.9","2.506",29,"117.2","5.976","96.2","0.355","18.1","16.1","42.0","29.7","51.8","36.8","50.0","44.9","33.2","32.2","65.9",5,"0.80","4.200","10.642","9","2.325","8.317","9.072","1.570"
2013,"Ohio St.","B10",2,"E8","0.9406","0.146","7.2","5.806",29,"113.6","2.376","89.4","7.155","16.2","20.7","31.8","28.2","35.5","29.5","49.4","43.6","35.6","32.4","65.3",3,"2.05","0.950","10.627","8","11.138","-0.511","7.704","2.923"
2023,"San Diego St.","MWC",5,"2ND","0.9205","0.125","5.7","4.306",32,"110.8","-0.424","89.5","7.055","17.3","19.1","31.6","26.1","33.2","30.2","48.4","49.3","34.0","28.3","65.7",5,"1.15","3.850","10.606","7","6.033","4.573","9.072","1.534"
2014,"Connecticut","Amer",7,"Champions","0.9171","0.122","4.7","3.306",32,"112.5","1.276","91.3","5.255","17.3","19.6","30.4","32.8","38.3","35.7","48.1","42.2","38.7","33.0","64.8",5,"1.08","3.920","10.573","10","2.839","7.734","12.102","-1.529"
2022,"North Carolina","ACC",8,"2ND","0.9113","0.116","4.3","2.906",29,"114.4","3.176","93.5","3.055","16.4","13.6","31.9","21.6","30.3","21.4","50.1","47.5","35.8","33.7","70.1",5,"0.80","4.200","10.547","7","2.325","8.222","9.072","1.475"
2017,"Louisville","ACC",2,"R32","0.9469","0.152","6.9","5.506",25,"117.6","6.376","91.5","5.055","16.0","19.6","36.7","28.5","34.0","38.8","50.5","44.8","35.5","31.6","69.4",1,"2.05","-1.050","10.533","13","11.138","-0.605","2.709","7.824"
2018,"Virginia","ACC",1,"R64","0.9612","0.166","11.3","9.906",31,"114.6","3.376","86.7","9.855","14.0","20.9","27.0","25.6","24.5","26.2","50.1","42.8","38.3","31.0","60.5",0,"2.88","-2.880","10.517","7","14.255","-3.738","-4.507","15.024"
2017,"Virginia","ACC",5,"R32","0.9477","0.153","5.0","3.606",23,"111.8","0.576","86.9","9.655","15.6","20.7","28.3","24.5","26.0","33.8","49.7","45.1","38.5","31.7","60.3",1,"1.15","-0.150","10.234","14","6.033","4.201","2.709","7.525"
2019,"Virginia Tech","ACC",4,"S16","0.9357","0.141","5.0","3.606",26,"117.8","6.576","93.4","3.155","17.3","21.6","29.6","27.2","31.9","26.3","52.9","49.0","39.4","32.7","65.1",2,"1.67","0.330","10.202","13","7.137","3.065","5.427","4.775"
2022,"Baylor","B12",1,"R32","0.9491","0.154","8.9","7.506",27,"117.8","6.576","91.3","5.255","17.9","22.9","36.3","28.8","29.0","27.7","53.6","49.2","34.3","30.2","67.6",1,"2.88","-1.880","10.105","8","14.255","-4.150","2.709","7.396"
2013,"Kansas","B12",1,"S16","0.9514","0.156","7.5","6.106",31,"111.6","0.376","86.2","10.355","20.3","18.4","33.8","29.3","39.5","32.0","52.9","39.3","36.4","30.3","67.7",2,"2.88","-0.880","10.007","9","14.255","-4.248","5.427","4.580"
2016,"Michigan St.","B10",2,"R64","0.9428","0.148","7.2","5.806",29,"122.5","11.276","96.0","0.555","17.6","14.2","37.1","24.3","30.0","34.1","51.4","41.7","43.4","31.0","67.6",0,"2.05","-2.050","9.929","7","11.138","-1.209","-4.507","14.436"
2022,"Purdue","B10",3,"S16","0.9267","0.132","7.0","5.606",29,"121.6","10.376","97.5","-0.945","17.5","14.0","35.2","23.8","38.2","21.6","55.8","48.6","38.4","33.2","66.0",2,"1.83","0.170","9.733","9","7.944","1.789","5.427","4.306"
2016,"Gonzaga","WCC",11,"S16","0.9238","0.129","2.1","0.706",27,"117.4","6.176","94.5","2.055","17.1","15.1","32.1","26.0","34.4","28.1","54.3","44.4","37.8","30.3","68.2",2,"0.64","1.360","9.720","8","0.224","9.496","5.427","4.293"
2014,"Virginia","ACC",1,"S16","0.9449","0.150","8.2","6.806",30,"114.6","3.376","89.5","7.055","16.5","18.4","33.9","25.8","42.0","32.5","49.0","42.1","36.9","32.3","61.2",2,"2.88","-0.880","9.701","11","14.255","-4.554","5.427","4.274"
2021,"Florida St.","ACC",4,"S16","0.9305","0.135","2.5","1.106",16,"117.8","6.576","94.0","2.555","20.1","19.6","35.4","31.4","32.7","36.3","52.1","44.2","39.0","33.3","70.4",2,"1.67","0.330","9.596","7","7.137","2.459","5.427","4.169"
2017,"Saint Mary's","WCC",7,"R32","0.9334","0.138","3.9","2.506",29,"118.0","6.776","93.8","2.755","17.5","15.3","33.1","21.9","27.8","26.6","56.9","45.4","39.4","30.0","61.2",1,"1.08","-0.080","9.589","15","2.839","6.750","2.709","6.880"
2023,"Creighton","BE",6,"E8","0.9177","0.123","2.2","0.806",24,"115.0","3.776","93.2","3.355","16.6","13.9","25.3","23.5","28.4","19.7","55.1","45.7","35.4","33.6","67.7",3,"0.73","2.270","9.524","8","4.018","5.506","7.704","1.820"
2023,"Tennessee","SEC",4,"S16","0.9401","0.145","2.8","1.406",25,"111.2","-0.024","87.5","9.055","18.1","22.2","36.4","26.9","30.7","33.8","50.3","45.1","32.8","26.5","65.1",2,"1.67","0.330","9.506","9","7.137","2.369","5.427","4.079"
2017,"Oklahoma St.","B12",10,"R64","0.9221","0.127","3.3","1.906",20,"126.8","15.576","102.3","-5.745","18.2","20.3","38.3","31.9","37.4","45.4","50.4","52.4","40.3","36.4","72.9",0,"0.50","-0.500","9.458","16","1.525","7.933","-4.507","13.965"
2022,"UCLA","P12",4,"S16","0.9321","0.137","5.1","3.706",27,"115.8","4.576","92.2","4.355","13.2","19.4","31.3","25.3","29.5","28.3","49.5","47.3","35.4","32.1","65.4",2,"1.67","0.330","9.398","10","7.137","2.261","5.427","3.971"
